split,task,seed,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
exploration,move_near,31,31,0.03559469552985101,0.04617478166635164,0.03202670615410091,0.009965495804423278,1.2795832851957225,0.03836480611855784,0.05866710648799653,0.03195300225657496,0.02030230036943868,-0.010336804565015402,0.2583747158798057
exploration,move_near,73,0,0.0043253920690984665,0.0008168674825642664,0.0019400283853494235,-0.0035085245865342004,0.18989340601959784,0.004042218047321282,0.0009243760896068725,0.001972460077721976,-0.0031178419577144087,-0.0003906826288197912,0.7372513622006712
exploration,move_near,73,1,0.00417480784046456,0.0073067828577488185,0.006743337974091729,0.0005634448836570917,1.0840284630152064,0.0035770972900866205,0.009638453746766737,0.009530287998183827,0.00010816574858290781,0.0004552791350741839,0.36455336347959627
exploration,move_near,73,2,0.02264500464806683,0.03159748983010939,0.01658346278032052,0.008952485182042561,1.400971335186651,0.02888702978416172,0.033162163233847845,0.023064031874902302,0.0042751334496861195,0.004677351732356442,0.03990848031423866
exploration,move_near,73,3,0.012329953861548011,0.021866017559710734,0.015030352942008428,0.006835664617702305,1.4454095068059394,0.015514799174176003,0.02770809597971873,0.014531401498315584,0.010632896145511236,-0.00379723152780893,0.03784182381241408
exploration,move_near,73,4,0.02095860428750267,0.038089432534527144,0.021428216497780383,0.015954763355113134,1.726278815642191,0.02075573561294657,0.03674714784752965,0.022241588283860237,0.014403411722738445,0.0015513516323746891,0.04177815133641616
exploration,move_near,73,5,0.019857564613391124,0.03009920373123756,0.0188028918025871,0.008735171305715845,1.4164775091031494,0.02171695828022729,0.03628083225289095,0.021017007284723374,0.013312530755591323,-0.00457735944987548,0.06155351601686713
exploration,move_near,73,6,0.03109568821110358,0.047594632165817045,0.02283721911761886,0.016498943954713463,1.5234834328918707,0.04569863694575393,0.03401344908306866,0.020767429171045054,-0.011685187862685275,0.028184131817398737,0.06967923187221459
exploration,move_near,73,7,0.04586422505104617,0.07251068942160256,0.03431008633108213,0.0266464643705564,1.6481377491940856,0.0351022490287304,0.04288551856757838,0.02845331402472585,0.006996606520292299,0.0196498578502641,0.08722840803924707
exploration,move_near,73,8,0.027359061046235866,0.053328598610946736,0.024956285410659765,0.025969537564710862,1.9521897906985044,0.03454775213710281,0.03565008140903519,0.02734879484670388,0.001102329271932374,0.024867208292778487,0.1463761232169721
