split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,31,30,0.3791377525789612,0.40811159082730186,0.9219647989802046,0.977544247192902,-0.05557944821269748,0.9640018700327255,0.9607022439251249,0.003299626107600595
exploration,move_near,31,31,0.34586324444582806,0.37483708269416866,0.9743182175080688,0.9796193378862879,-0.005301120378219022,0.978494623655914,0.9890710382513661,-0.010576414595452147
exploration,move_near,73,0,0.5382615823557687,0.46432768592617313,0.9851217827823734,1.0,-0.01487821721762661,0.9858156028368795,1.0,-0.014184397163120551
exploration,move_near,73,1,0.5502827088371279,0.4763488124075324,0.9972223765117505,0.9879163297049552,0.00930604680679518,0.9833333333333334,0.9691489361702127,0.014184397163120551
exploration,move_near,73,2,0.5040588469286262,0.4301249504990307,0.9832690362113542,0.9923009552754917,-0.009031919064137436,0.9670362601138748,0.97629179331307,-0.00925553319919518
exploration,move_near,73,3,0.5095113884162886,0.43557749198669304,1.0,0.9879336024742732,0.012066397525726802,1.0,0.9904761904761905,0.009523809523809526
exploration,move_near,73,4,0.5364859640192466,0.4625520675896511,0.9856100048296944,0.9745723650843833,0.011037639745311245,0.9738095238095238,0.9596251266464032,0.014184397163120551
exploration,move_near,73,5,0.5355923688008466,0.46165847237125107,0.995500246117358,0.9744845402999794,0.021015705817378622,0.9738095238095238,0.9645539906103285,0.00925553319919518
exploration,move_near,73,6,0.5660517594945936,0.49211786306499805,0.9769245134339447,0.9685676786260996,0.00835683480784514,0.9367762128325507,0.9367762128325507,0.0
exploration,move_near,73,7,0.5121669521771929,0.43823305574759736,0.9409203240742379,0.9067210572187996,0.034199266855438205,0.9255174998558496,0.9119241192411924,0.013593380614657239
exploration,move_near,73,8,0.4325730282023012,0.3586391317727056,0.9917944287570474,0.9690181831644934,0.02277624559255398,0.9674796747967479,0.9286727456940223,0.038806929102725686
exploration,move_near,73,9,0.5305332153059618,0.45659931887636623,0.9171349428810408,0.9179536823164658,-0.0008187394354249496,0.9073359073359074,0.8880734942378777,0.019262413098029563
exploration,move_near,73,10,0.5747889311522165,0.500855034722621,0.9491247840072944,0.8700750770106986,0.0790497069965957,0.941371158392435,0.8736770379809564,0.06769412041147856
exploration,move_near,73,11,0.2986894373268652,0.22475554089726968,0.8494813277914023,0.6979804900422358,0.15150083774916653,0.8988855704883579,0.7843481252149983,0.11453744527335967
