partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
3,0.75,105,9,0.0805672305568137,0.08423165122861907,-0.003664420671805377,0.9490355492257724,0.9619047619047619,0.9619047619047619,0.027019889102523523,6.3619047619047615,-0.17142857142857143,0.10113367390608724,0.6168826686365753,0.9992932607182744,0.9955303531918603,-0.0015550305892782213,-0.007765788257164438,-0.0016724431689734698,0.6666666666666666,0.8703026781346129,0,0
3,0.9,105,9,0.08297098055870111,0.08423165122861907,-0.0012606706699179575,0.9778079255635395,0.38095238095238093,0.38095238095238093,0.011564870703896208,6.523809523809524,-0.009523809523809525,0.10444079028487883,0.6108113244558321,0.9999184815210787,0.9989947097516049,-0.0005335506020227634,-0.002671157316720296,-0.000577304091010813,0.6666666666666666,0.937878541107881,0,0
4,0.5,105,9,0.06830786782186432,0.08423165122861907,-0.01592378340675477,0.8624057867061944,2.4761904761904763,2.4761904761904763,0.07676035090298755,6.857142857142857,0.3238095238095238,0.11957979503084282,0.6019690316876669,0.9912623689166331,0.9785409854603319,-0.006895859534489582,-0.033626015013367504,-0.0072494756724072245,0.0,0.509042591173717,0,0
4,0.75,105,9,0.07811163728730058,0.08423165122861907,-0.0061200139413184855,0.9486057824130665,1.0095238095238095,1.0095238095238095,0.027150613390770344,6.476190476190476,-0.05714285714285714,0.10253246962270104,0.6128164107305678,0.9988589729805667,0.9922382055935213,-0.002599907049475102,-0.013008013576762201,-0.0027521211977181528,0.0,0.6879175632720704,0,0
4,0.9,105,9,0.08208109960186143,0.08423165122861907,-0.0021505516267576654,0.9755233716581834,0.44761904761904764,0.44761904761904764,0.01267148078537419,6.533333333333333,0.0,0.1042513590197978,0.6089957514760826,0.9998660973009497,0.9977184833077198,-0.0009062065722128948,-0.004583372640574225,-0.0009620756674858765,0.6666666666666666,0.9226252820870623,0,0
5,0.5,105,9,0.06078751190298511,0.08423165122861907,-0.023444139325633963,0.8116982173111125,3.323809523809524,3.323809523809524,0.10713161571713356,7.380952380952381,0.8476190476190476,0.14671808217149798,0.5866095469847297,0.9778933121211247,0.9729330837393323,-0.010515350847925839,-0.05029899168333483,-0.009518075445641217,0.0,0.4269838442282726,0,0
5,0.75,105,9,0.07454672583257126,0.08423165122861907,-0.009684925396047815,0.9261245016431554,1.3904761904761904,1.3904761904761904,0.03952435063710345,6.885714285714286,0.3523809523809524,0.11604926647418214,0.6067841815516676,0.9969186498183855,0.9895392115990364,-0.004423943097906983,-0.020862783198873972,-0.0037680498913624885,0.0,0.6220978103425512,0,0
5,0.9,105,9,0.0807227915293213,0.08423165122861907,-0.003508859699297791,0.9733205566513093,0.49523809523809526,0.49523809523809526,0.013863219377403339,6.580952380952381,0.047619047619047616,0.10456466432921838,0.6059343830453024,0.9996304236311421,0.9964105194607025,-0.0016147799294541527,-0.007571530018115132,-0.001340269150324087,0.6666666666666666,0.8824625511257373,0,0
6,0.5,105,9,0.06246371252675748,0.08423165122861907,-0.021767938701861597,0.859095168382818,2.2476190476190476,2.2476190476190476,0.07898632030434813,6.876190476190477,0.34285714285714286,0.11368309447720239,0.5915049754595151,0.9837115083668039,0.9833243822820956,-0.008814377757822218,-0.052194292795745965,-0.004295145552016611,0.0,0.4689074364010486,0,0
6,0.75,105,9,0.0748801803478575,0.08423165122861907,-0.009351470880761568,0.9372067574326165,0.9428571428571428,0.9428571428571428,0.03409485647055493,6.504761904761905,-0.02857142857142857,0.10260101393819657,0.6091326425304904,0.9974085978496171,0.9946175707637138,-0.0033462490380582375,-0.02306471323447547,-0.0016434503697510007,0.3333333333333333,0.6904777834682161,0,0
