state_id,task,seed,step,phase,true_entity_count,true_distinct_group_count,arm,count,selected_attention_mass,feature_perturbation_relative,jaccard_vs_true
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,true_matched,48,0.8881409541941855,0.37156900995192954,1.0
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,wrong_entity,43,0.873120815513719,0.34536161904001383,0.8958333333333334
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,random_cluster,13,0.6772873508036505,0.18635110761737833,0.2708333333333333
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,source_only,48,0.8881409541941855,0.37156900995192954,1.0
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,target_only,48,0.8881409541941855,0.37156900995192954,1.0
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,top_p80,26,0.8007590539146245,0.27057361776618877,0.5416666666666666
google_robot_open_drawer__seed095__step101,google_robot_open_drawer,95,101,late,1,1,true_scale_150,72,0.9357089033091903,0.448544009981491,0.6666666666666666
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,true_matched,52,0.916375858261116,0.4087280899902791,1.0
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,wrong_entity,54,0.9217203855550002,0.4302484626277726,0.9629629629629629
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,random_cluster,34,0.811490713534019,0.32075578143112715,0.6538461538461539
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,source_only,52,0.916375858261116,0.4087280899902791,1.0
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,target_only,52,0.916375858261116,0.4087280899902791,1.0
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,top_p80,33,0.8010432440022583,0.30639244800468135,0.6346153846153846
google_robot_open_drawer__seed097__step011,google_robot_open_drawer,97,11,early,1,1,true_scale_150,78,0.9619921745343113,0.5154013657086971,0.6666666666666666
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,true_matched,26,0.8607222310719393,0.28182253092490184,1.0
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,wrong_entity,40,0.9160823798425494,0.3504248586609079,0.65
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,random_cluster,38,0.9105490804374847,0.3423177801615863,0.6842105263157895
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,source_only,26,0.8607222310719393,0.28182253092490184,1.0
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,target_only,26,0.8607222310719393,0.28182253092490184,1.0
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,top_p80,21,0.8120680782304418,0.2559530047328235,0.8076923076923077
google_robot_open_drawer__seed097__step056,google_robot_open_drawer,97,56,middle,1,1,true_scale_150,39,0.913337074607919,0.34592688191060256,0.6666666666666666
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,true_matched,20,0.8413884948498971,0.24811072330485964,1.0
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,wrong_entity,38,0.9289760353431455,0.33949836665183725,0.5263157894736842
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,random_cluster,38,0.9289760353431455,0.33949836665183725,0.5263157894736842
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,source_only,20,0.8413884948498971,0.24811072330485964,1.0
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,target_only,20,0.8413884948498971,0.24811072330485964,1.0
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,top_p80,17,0.8044649668289411,0.2279300308657921,0.85
google_robot_open_drawer__seed097__step101,google_robot_open_drawer,97,101,late,1,1,true_scale_150,30,0.9081121405033699,0.3056893501697225,0.6666666666666666
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,true_matched,27,0.8525897960169305,0.34734480651504185,1.0
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,wrong_entity,27,0.8525897960169305,0.34734480651504185,1.0
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,random_cluster,36,0.8916626318507961,0.40160496440351096,0.75
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,source_only,27,0.8525897960169305,0.34734480651504185,1.0
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,target_only,27,0.8525897960169305,0.34734480651504185,1.0
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,top_p80,20,0.8078370912590449,0.3221217329521956,0.7407407407407407
google_robot_pick_coke_can__seed001__step008,google_robot_pick_coke_can,1,8,early,1,1,true_scale_150,40,0.9036385809381475,0.41464153336248205,0.675
google_robot_pick_coke_can__seed001__step040,google_robot_pick_coke_can,1,40,middle,1,1,true_matched,30,0.7538302623543136,0.2732565628842596,1.0
