task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,l11_win,0.5,both,21,0.6653326383902025,0.7923440764196443,7.714285714285714,7.714285714285714,3.380952380952381,0.037007496526071354,0.7713193825884536,0.9202067883263405,0.05433090763963323,0.1281239171864172,0.5
ALL,l11_win,0.5,corners,21,0.7711874481487965,0.867346413605049,4.571428571428571,4.571428571428571,7.333333333333333,0.12142644320928622,0.6080057652305298,0.8942023388590253,0.06523413946004217,0.07704585401157982,0.5
ALL,l11_win,0.5,gaussian,21,0.6689713209034908,0.7946203715530823,7.619047619047619,7.619047619047619,3.4761904761904763,0.03945448264652687,0.7682008794699504,0.9179619995613112,0.05421619663911394,0.13072808385308385,0.5
ALL,l11_win,0.5,raw,21,0.7810983567926206,0.8737524207736771,4.333333333333333,4.333333333333333,7.380952380952381,0.1163637865676822,0.6011280382384413,0.8915566796169918,0.06512805648794098,0.07444168734491315,0.5
ALL,l11_win,0.75,both,21,0.6738618170231563,0.7975815607970185,7.380952380952381,7.380952380952381,3.5238095238095237,0.03435572139857207,0.7736618152054959,0.9141945232042283,0.058164530601362494,0.11968460783984979,0.5
ALL,l11_win,0.75,corners,21,0.8565443403792247,0.9197465905007592,2.8095238095238093,2.8095238095238093,6.761904761904762,0.10684055291099553,0.6247040540484166,0.891050820466061,0.07186643034863285,0.07704585401157982,0.5
ALL,l11_win,0.75,gaussian,21,0.678850854270258,0.8019893752048329,7.238095238095238,7.238095238095238,3.6666666666666665,0.04061223132855139,0.7682109505709578,0.9129227058277432,0.0580351474031638,0.11968460783984979,0.5
ALL,l11_win,0.75,raw,21,0.8661704253318429,0.92572576026776,2.5714285714285716,2.5714285714285716,6.904761904761905,0.10551416000565524,0.614561020933879,0.8936359274389228,0.07171957756298128,0.07444168734491315,0.5
ALL,l11_win,0.9,both,21,0.6859467338082739,0.8089224979654387,7.095238095238095,7.095238095238095,3.3333333333333335,0.030569133099362933,0.8131292258121781,0.9015879822604875,0.06096033105781215,0.12008402633402634,0.5
ALL,l11_win,0.9,corners,21,0.9320441593246529,0.9628550787140729,1.380952380952381,1.380952380952381,7.142857142857143,0.10707495690546934,0.6224919156222912,0.8894483473778619,0.07669407099371423,0.08302839905662486,0.5
ALL,l11_win,0.9,gaussian,21,0.6898760218531153,0.8114801086326089,7.0,7.0,3.4761904761904763,0.03361565728065681,0.8076942737322522,0.8966748343792716,0.06082292121191701,0.12008402633402634,0.5
ALL,l11_win,0.9,raw,21,0.943980404859746,0.9697499993968245,1.0952380952380953,1.0952380952380953,7.190476190476191,0.10574560310881284,0.6202156204888534,0.8883703896961306,0.0765226176135409,0.08563256572329153,0.5
ALL,l11_win,1.0,both,21,0.6847643396278057,0.8075343021894877,7.095238095238095,7.095238095238095,3.619047619047619,0.04168007778248649,0.7891251124688611,0.8852601233019951,0.06310861465072178,0.11605176826951022,0.5
ALL,l11_win,1.0,corners,21,0.9823184223184224,0.9908287841838104,0.38095238095238093,0.38095238095238093,6.809523809523809,0.09972992463551676,0.6281376658874216,0.8663544702222488,0.08039239103693105,0.0816003076587754,0.5
ALL,l11_win,1.0,gaussian,21,0.6852500993368424,0.8079873210199233,7.095238095238095,7.095238095238095,3.7142857142857144,0.043238506725685126,0.7850507046066225,0.8825188609143602,0.06296601277056833,0.11605176826951022,0.5
ALL,l11_win,1.0,raw,21,1.0,1.0,0.0,0.0,6.9523809523809526,0.09909107260347587,0.6215793649113535,0.872335659865179,0.08020402794810466,0.0816003076587754,0.5
ALL,sparse_win,0.5,both,12,0.5534889266506914,0.7053072987247209,6.583333333333333,6.583333333333333,3.5833333333333335,0.022188041153190275,0.7280833292157363,0.8789957634790267,0.11927767614394354,0.3055555555555556,1.0
ALL,sparse_win,0.5,corners,12,0.6815038208546677,0.8039928971729985,3.9166666666666665,3.9166666666666665,6.833333333333333,0.18633955100335997,0.5248195702201418,0.9041185957958707,0.1495577093042753,0.19444444444444442,1.0
ALL,sparse_win,0.5,gaussian,12,0.5534889266506914,0.7053072987247209,6.583333333333333,6.583333333333333,3.5833333333333335,0.019707882423031547,0.7260992022316093,0.8828717324712748,0.11812195902157561,0.3055555555555556,1.0
ALL,sparse_win,0.5,raw,12,0.6815038208546677,0.8039928971729985,3.9166666666666665,3.9166666666666665,6.916666666666667,0.1878276462414552,0.5248195702201418,0.9041185957958707,0.14810898368900138,0.19444444444444442,1.0
ALL,sparse_win,0.75,both,12,0.5967275394674904,0.743348869356457,5.833333333333333,5.833333333333333,3.75,0.03808365902456692,0.7061122486641471,0.8948081792820642,0.12628572387439507,0.2777777777777778,1.0
ALL,sparse_win,0.75,corners,12,0.7534980136858999,0.8559517373043848,2.75,2.75,6.5,0.17178183941175007,0.5325988279993995,0.9007467318762815,0.1646015865894675,0.19444444444444442,1.0
ALL,sparse_win,0.75,gaussian,12,0.5987167409451829,0.7448369645945524,5.75,5.75,3.9166666666666665,0.04105984950075739,0.7031360581879568,0.8948081792820642,0.12484203420100753,0.2777777777777778,1.0
ALL,sparse_win,0.75,raw,12,0.7561345485258245,0.85743983254248,2.6666666666666665,2.6666666666666665,6.75,0.17525406163397228,0.5325988279993995,0.9007467318762815,0.1627218619365307,0.19444444444444442,1.0
ALL,sparse_win,0.9,both,12,0.6020350482167419,0.7493464543055595,6.166666666666667,6.166666666666667,3.5,0.028693619267295523,0.7063656022063262,0.8629807095033041,0.13142264603196935,0.25,1.0
ALL,sparse_win,0.9,corners,12,0.8735620948079235,0.9303729014164568,1.5,1.5,6.166666666666667,0.11833675054999454,0.5508072099083464,0.893904721141764,0.17584843302380077,0.16666666666666666,1.0
