task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,50,late,both_success,99,48,0,0.8846153846153846,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,51,early,harm,13,16,1,1.0,0.9268871871852925,0.0,0,-1.8214950561523438,-1.981292724609375,0,0.0,0.0,0.0,0
close_drawer,51,middle,harm,56,30,0,0.9333333333333333,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,51,late,harm,99,41,0,0.5652173913043478,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,52,early,both_success,13,5,1,1.0,0.5085461359078968,0.054088892231973974,2,-2.25909423828125,-32.8448600769043,-1,-0.19999999999999996,0.054088892231973974,0.054088892231973974,0
close_drawer,52,middle,both_success,56,26,0,0.8125,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,52,late,both_success,99,32,1,0.9142857142857143,0.9979118577395079,0.0,0,-0.807373046875,-0.3700714111328125,0,0.0,0.0,0.0,0
close_drawer,53,early,both_success,13,50,1,0.34,0.9987323266178881,0.0,0,1.5246429443359375,3.132843017578125,-1,-0.020000000000000004,0.0,0.0,0
close_drawer,53,middle,both_success,56,52,0,0.6896551724137931,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,53,late,both_success,99,27,1,0.14814814814814814,0.951258448792953,0.02843168093877682,1,5.9061737060546875,-0.4590301513671875,-1,-0.037037037037037035,0.02843168093877682,0.02843168093877682,0
close_drawer,54,early,rescue,13,19,1,0.95,0.9681415245347178,0.007897689149660159,1,4.238502502441406,0.1514739990234375,0,0.0,0.007897689149660159,0.007897689149660159,0
close_drawer,54,middle,rescue,56,42,0,0.9534883720930233,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
