task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
open_drawer,17,rescue,approach,0,r2_c1,1,0.1795557241952872,-0.05148007974675506,0.106822113852859,199.96287689208984,0
open_drawer,17,rescue,contact_or_motion,49,r0_c0,3,0.020120253786444664,-0.012522190809249878,0.03761930950827898,188.57467041015624,0
open_drawer,17,rescue,contact_or_motion,49,r0_c1,1,0.03264244459569454,0.0,0.039649066512992104,204.8285675048828,0
open_drawer,17,rescue,contact_or_motion,49,r1_c0,16,0.04758789204061031,0.014945447444915771,0.06805907572968245,186.0335205078125,0
open_drawer,17,rescue,contact_or_motion,49,r1_c1,3,0.03264244459569454,0.0,0.039649066512992104,204.77399444580078,0
open_drawer,17,rescue,contact_or_motion,49,r2_c0,14,0.020120253786444664,-0.012522190809249878,0.03761930950827898,183.93475341796875,0
open_drawer,17,rescue,contact_or_motion,49,r2_c1,3,0.03264244459569454,0.0,0.039649066512992104,204.30588073730468,0
open_drawer,17,rescue,late,90,r1_c0,1,-0.02692192606627941,-0.19047913141548634,0.03342400968620647,199.89186668395996,0
open_drawer,17,rescue,late,90,r2_c0,6,0.032722678035497665,-0.13083452731370926,0.08681935014098607,206.5662109375,0
open_drawer,29,rescue,approach,0,r0_c0,1,0.20102530475487632,0.0,0.08486830412054899,218.09017791748047,0
open_drawer,29,rescue,approach,0,r0_c1,3,0.20102530475487632,0.0,0.08486830412054899,217.62963104248047,0
open_drawer,29,rescue,approach,0,r1_c0,8,0.2226750016378267,0.021649696882950376,0.1162791311945441,179.3182903289795,0
open_drawer,29,rescue,approach,0,r1_c1,18,0.2057532473027914,0.004727942547915087,0.07097943874466602,188.87427444458007,0
open_drawer,29,rescue,approach,0,r2_c0,9,0.22966797094071023,0.028642666185833915,0.10933726161874013,177.85869789123535,0
open_drawer,29,rescue,approach,0,r2_c1,9,0.2226750016378267,0.021649696882950376,0.1162791311945441,179.08415489196778,0
open_drawer,29,rescue,contact_or_motion,36,r0_c0,2,0.006885852664709091,0.0,0.0003027559614649011,178.8939010620117,0
open_drawer,29,rescue,contact_or_motion,36,r0_c1,1,0.006885852664709091,0.0,0.0003027559614649011,178.1414779663086,0
open_drawer,29,rescue,contact_or_motion,36,r1_c0,5,0.006885852664709091,0.0,0.0003027559614649011,178.37677001953125,0
open_drawer,29,rescue,contact_or_motion,36,r1_c1,10,0.006885852664709091,0.0,0.0003027559614649011,175.34376373291016,0
open_drawer,29,rescue,contact_or_motion,36,r2_c0,10,0.006885852664709091,0.0,0.0003027559614649011,178.58534240722656,0
open_drawer,29,rescue,contact_or_motion,36,r2_c1,9,0.006885852664709091,0.0,0.0003027559614649011,176.00857391357422,0
open_drawer,29,rescue,late,90,r2_c0,4,0.0005220025777816772,0.0,0.0,131.9530342102051,1
open_drawer,29,rescue,late,90,r2_c1,15,0.0012004971504211426,0.0006784945726394653,0.00011669958005933179,123.0288589477539,1
